library,codename,treat,dose,duration,mouse,serum_term,description
YT013101,S02,Saline,0g,6h,59,Not_added,Saline 6h
YT013102,L02,LPS,50mg,6h,58,Not_added,LPS 50mg/kg 6h
YT013103,P01,Poly(i:c),20mg,6h,57,Not_added,Poly I:C 20mg/kg 6h
YT032201-02,S01,Saline,0g,6h,56,Not_added,Saline 6h
YT032202-02,L01,LPS,50mg,6h,55,Not_added,LPS 50mg/kg 6h
YT032203,P02,Poly(i:c),20mg,6h,54,Not_added,Poly I:C 20mg/kg 6h
YT040401,S03,Saline,0g,3h,48,Not_added,Saline 3h
YT040402,S04,Saline,0g,3h,48,Not_added,Saline 3h
YT040403,P03,Poly(i:c),20mg,3h,46,Not_added,Poly I:C 20mg/kg 3h
YT040404,P04,Poly(i:c),20mg,3h,46,Not_added,Poly I:C 20mg/kg 3h
YT040405,P05,Poly(i:c),10mg,6h,47,Not_added,Poly I:C 10mg/kg 6h
YT040406-2,L03,LPS,50mg,3h,49,Not_added,LPS 50mg/kg 3h
YT041101,L04,LPS,50mg,3h,49,Not_added,LPS 50mg/kg 3h
YT041102,L05,LPS,10mg,6h,45,Not_added,LPS 10mg/kg 6h
YT041103,L06,LPS,10mg,6h,45,Not_added,LPS 10mg/kg 6h
YT041104,L07,LPS,10mg,3h,1,Not_added,LPS 10mg/kg 3h
YT041105,L08,LPS,10mg,3h,1,Not_added,LPS 10mg/kg 3h
YT041106,P06,Poly(i:c),10mg,6h,47,Not_added,Poly I:C 10mg/kg 6h
YT041107,P07,Poly(i:c),10mg,3h,2,Not_added,Poly I:C 10mg/kg 3h
YT041108,P08,Poly(i:c),10mg,3h,2,Not_added,Poly I:C 10mg/kg 3h
YT042501,P09,Poly(i:c),10mg,3h,5,Not_added,Poly I:C 10mg/kg 3h
YT042502,P10,Poly(i:c),10mg,3h,5,Not_added,Poly I:C 10mg/kg 3h
YT042503,P11,Poly(i:c),20mg,3h,4,Not_added,Poly I:C 20mg/kg 3h
YT042504,P12,Poly(i:c),20mg,3h,4,Not_added,Poly I:C 20mg/kg 3h
YT042505,L09,LPS,10mg,3h,6,Not_added,LPS 10mg/kg 3h
YT042506,L10,LPS,10mg,3h,6,Not_added,LPS 10mg/kg 3h
YT042507,L11,LPS,10mg,6h,7,Not_added,LPS 10mg/kg 6h
YT042701,T01,TNFalpha,500ug,6h,13,Not_added,TNFa 500ug/kg 6h
YT042702,T02,TNFalpha,500ug,6h,13,Not_added,TNFa 500ug/kg 6h
YT042703,T03,TNFalpha,500ug,6h,14,Not_added,TNFa 500ug/kg 6h
YT042704,T04,TNFalpha,500ug,6h,14,Not_added,TNFa 500ug/kg 6h
YT042705,S05,Saline,0g,3h,3,Not_added,Saline 3h
YT042706,S06,Saline,0g,3h,3,Not_added,Saline 3h
YT042707,S07,Saline,0g,6h,8,Not_added,Saline 6h
YT042708,S08,Saline,0g,6h,8,Not_added,Saline 6h
YT042709,L12,LPS,10mg,6h,7,Not_added,LPS 10mg/kg 6h
YT050901,L13,LPS,50mg,3h,9,Not_added,LPS 50mg/kg 3h
YT050902,L14,LPS,50mg,3h,9,Not_added,LPS 50mg/kg 3h
YT050903,L15,LPS,50mg,6h,10,Not_added,LPS 50mg/kg 6h
YT050904,L16,LPS,50mg,6h,10,Not_added,LPS 50mg/kg 6h
YT050905,P13,Poly(i:c),20mg,6h,11,Not_added,Poly I:C 20mg/kg 6h
YT050906,P14,Poly(i:c),20mg,6h,11,Not_added,Poly I:C 20mg/kg 6h
YT050907,P15,Poly(i:c),10mg,6h,12,Not_added,Poly I:C 10mg/kg 6h
YT050908,P16,Poly(i:c),10mg,6h,12,Not_added,Poly I:C 10mg/kg 6h
YT081601,S09,Saline,0g,6h,17,Not_added,Saline 6h
YT081602,S10,Saline,0g,6h,17,Not_added,Saline 6h
YT081603,S11,Saline,0g,6h,53,Not_added,Saline 6h
